customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10000,Female,0,No,No,72,Yes,DSL,No internet service,No internet service,One year,No,Mailed check,68.56,4781.51,No
CUST-10001,Female,0,No,No,58,Yes,No,No,Yes,Two year,No,Electronic check,29.2,1587.35,No
CUST-10002,Male,1,No,No,26,Yes,Fiber optic,Yes,No,Two year,Yes,Mailed check,98.5,2499.92,No
CUST-10003,Male,1,Yes,No,14,Yes,Fiber optic,No,No internet service,One year,Yes,Mailed check,64.42,917.83,No
CUST-10004,Male,0,Yes,No,34,Yes,Fiber optic,No,No,One year,Yes,Electronic check,85.0,2927.26,Yes
CUST-10005,Male,0,No,Yes,61,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,69.31,4123.97,No
CUST-10006,Male,0,No,Yes,1,No,Fiber optic,No internet service,Yes,Month-to-month,No,Electronic check,68.47,63.33,No
CUST-10007,Female,0,No,No,4,Yes,No,Yes,No internet service,One year,No,Electronic check,19.14,70.78,No
CUST-10008,Male,0,No,No,46,Yes,Fiber optic,No internet service,No,One year,Yes,Electronic check,71.66,3433.68,No
CUST-10009,Male,0,No,No,7,Yes,Fiber optic,No,No internet service,Two year,No,Mailed check,93.11,674.91,No
CUST-10010,Female,0,No,Yes,15,Yes,DSL,Yes,Yes,Two year,Yes,Electronic check,60.7,935.27,No
CUST-10011,Female,0,Yes,No,17,Yes,DSL,No,No,Two year,Yes,Electronic check,43.82,704.02,No
CUST-10012,Male,1,No,Yes,3,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,18.0,55.61,No
CUST-10013,Male,0,No,No,27,Yes,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer (automatic),103.96,2732.52,No
CUST-10014,Male,0,Yes,Yes,8,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),35.14,291.64,No
CUST-10015,Female,1,Yes,Yes,6,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,87.82,548.59,No
CUST-10016,Male,0,Yes,No,0,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.69,,No
CUST-10017,Female,1,No,No,2,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,32.57,61.1,No
CUST-10018,Female,0,No,No,23,No,DSL,No internet service,Yes,Month-to-month,Yes,Mailed check,47.21,1133.53,No
CUST-10019,Female,0,Yes,No,72,Yes,DSL,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),69.59,4788.59,No
CUST-10020,Female,0,No,No,9,Yes,DSL,No,Yes,Month-to-month,No,Mailed check,51.38,478.33,No
CUST-10021,Male,0,Yes,Yes,32,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,103.49,3409.21,No
CUST-10022,Male,0,No,No,19,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer (automatic),60.07,1181.49,No
CUST-10023,Male,0,Yes,No,6,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,77.15,438.79,Yes
CUST-10024,Male,0,Yes,No,0,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card (automatic),98.15,,Yes
CUST-10025,Male,1,Yes,No,5,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),30.86,141.37,No
CUST-10026,Male,1,No,No,20,Yes,Fiber optic,No internet service,Yes,Two year,No,Bank transfer (automatic),65.38,1242.22,Yes
